day,reading_1,reading_2,read
1,John 1,Genesis 1-3,
2,John 2,Genesis 4-5,
3,John 3,Genesis 6-9,
4,John 4:1-26,Genesis 10-11,
5,John 4:27-54,Genesis 12-15,
6,Proverbs 1:1-19,Psalms 1-5,
7,OFF,,
8,John 5:1-30,Genesis 16-18,
9,John 5:31-47,Genesis 19-21,
10,John 6:1-40,Genesis 22-23,
11,John 6:41-71,Genesis 24-25,
12,John 7:1-31,Genesis 26,
13,Proverbs 1:20-33,Psalms 6-9,
14,OFF,,
15,John 7:32-53; John 8:1-11,Genesis 27-30,
16,John 8:12-47,Genesis 31,
17,John 8:48-59,Genesis 32-33,
18,John 9,Genesis 34-35,
19,John 10,Genesis 36-38,
20,Proverbs 2:1-11,Psalms 10-14,
21,OFF,,
22,John 11:1-16,Genesis 39-40,
23,John 11:17-57,Genesis 41-42,
24,John 12:1-19,Genesis 43-44,
25,John 12:20-50,Genesis 45-47,
26,John 13,Genesis 48-50,
27,Proverbs 2:12-22,Psalms 15-18,
28,OFF,,
29,John 14,Isaiah 1-4,
30,John 15; John 16:1-4,Isaiah 5-8,
31,John 16:5-33,Isaiah 9-11,
32,John 17,Isaiah 12-16,
33,John 18,Isaiah 17-21,
34,Proverbs 3:1-12,Psalms 19-20,
35,OFF,,
36,John 19:1-27,Isaiah 22-25,
37,John 19:28-42,Isaiah 26-28,
38,John 20-21,Isaiah 29-32,
39,Romans 1,Isaiah 33-36,
40,Romans 2,Isaiah 37-39,
41,Proverbs 3:13-26,Psalms 21-23,
42,OFF,,
43,Romans 3,Isaiah 40-42,
44,Romans 4,Isaiah 43-45,
45,Romans 5,Isaiah 46-49,
46,Romans 6-7,Isaiah 50-54,
47,Romans 8,Isaiah 55-58,
48,Proverbs 3:27-35,Psalms 24-27,
49,OFF,,
50,Romans 9,Isaiah 59-63,
51,Romans 10,Isaiah 64-66,
52,Romans 11,Exodus 1-3,
53,Romans 12,Exodus 4-5; 6:1-12,
54,Romans 13,Exodus 6:13-30; 7-8,
55,Proverbs 4:1-19,Psalms 28-31,
56,OFF,,
57,Romans 14; 15:1-13,Exodus 9-11,
58,Romans 15:14-33,Exodus 12-14,
59,Romans 16,Exodus 15-16,
60,Galatians 1,Exodus 17-19,
61,Galatians 2,Exodus 20-22,
62,Proverbs 4:20-27,Psalms 32-33,
63,OFF,,
